step_i,time_ms,volume_mL
232,233.812500,20.135741
233,234.820312,20.069706
234,235.828125,20.005219
235,236.835938,19.942336
236,237.843750,19.881110
237,238.851562,19.821594
238,239.859375,19.763842
239,240.867188,19.707906
240,241.875000,19.653840
241,242.882812,19.600263
242,243.890625,19.545824
243,244.898438,19.490621
244,245.906250,19.434750
245,246.914062,19.378307
246,247.921875,19.321386
247,248.929688,19.264083
248,249.937500,19.206491
249,250.945312,19.148702
250,251.953125,19.090808
251,252.960938,19.032899
252,253.968750,18.975065
253,254.976562,18.917395
254,255.984375,18.859978
255,256.992188,18.802899
256,258.000000,18.746246
257,259.007812,18.690103
258,260.015625,18.634554
259,261.023438,18.579684
260,262.031250,18.525575
261,263.039062,18.472308
262,264.046875,18.419965
263,265.054688,18.368625
264,266.062500,18.318369
265,267.070312,18.269274
266,268.078125,18.221420
267,269.085938,18.174883
268,270.093750,18.129741
269,271.101562,18.086070
270,272.109375,18.043946
271,273.117188,18.003444
272,274.125000,17.964640
273,275.132812,17.927609
274,276.140625,17.892425
275,277.148438,17.859162
276,278.156250,17.827896
277,279.164062,17.798700
278,280.171875,17.771650
279,281.179688,17.746819
280,282.187500,17.724283
281,283.195312,17.704116
282,284.203125,17.686395
283,285.210938,17.671195
284,286.218750,17.658593
285,287.226562,17.648667
286,288.234375,17.641493
287,289.242188,17.637152
288,290.250000,17.635723
289,291.257812,17.637188
290,292.265625,17.641415
291,293.273438,17.648318
292,294.281250,17.657813
293,295.289062,17.669815
294,296.296875,17.684239
295,297.304688,17.701004
296,298.312500,17.720025
297,299.320312,17.741220
298,300.328125,17.764506
299,301.335938,17.789802
300,302.343750,17.817025
301,303.351562,17.846092
302,304.359375,17.876923
303,305.367188,17.909434
304,306.375000,17.943544
305,307.382812,17.979170
306,308.390625,18.016229
307,309.398438,18.054639
308,310.406250,18.094316
309,311.414062,18.135177
310,312.421875,18.177138
311,313.429688,18.220115
312,314.437500,18.264022
313,315.445312,18.308775
314,316.453125,18.354288
315,317.460938,18.400473
316,318.468750,18.447245
317,319.476562,18.494516
318,320.484375,18.542198
319,321.492188,18.590201
320,322.500000,18.638437
321,323.507812,18.686815
322,324.515625,18.735245
323,325.523438,18.783635
324,326.531250,18.831894
325,327.539062,18.879928
326,328.546875,18.927645
327,329.554688,18.974950
328,330.562500,19.021748
329,331.570312,19.067945
330,332.578125,19.113445
331,333.585938,19.158150
332,334.593750,19.201964
333,335.601562,19.244789
334,336.609375,19.286528
335,337.617188,19.327081
336,338.625000,19.366349
337,339.632812,19.405223
338,340.640625,19.444654
339,341.648438,19.484633
340,342.656250,19.525149
341,343.664062,19.566192
